display_name, notebook_name
Simple Chatbot with OpanAI API and Gradio, simple_chatbot_with_openai_api_and_gradio.ipynb
Simple Voice Chatbot with OpanAI API Gradio Whisper and ElevenLabs, simple_voice_chatbot_with_openai_api_and_gradio.ipynb
